"new_ID","ID","Type","Param","sp_name_std","Start","End","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Duration","ShiftRate","UnitRate","Areakm2","LatExtentk","Eco","kingdom","phylum","class","family","Hemisphere","bvel","bvel_lat","bvel_lat2","bvel_lat_error","bvel_angle","bvel95","bvel95_lat","bvel95_lat_error","bvel95_angle","sensitivity","validation","calibration","Boyce","TSS","signoise","mismatch","mismatch_percent","mismatch_trend","match_direction","lag_overshoot","match_direction_class","mismatch95","mismatch95_percent","mismatch95_trend","match_direction95","lag_overshoot95","match_direction95_class"
"A112_P1 Tosia_magnifica 1994 2006 LAT LE","A112_P1","LAT","LE","Tosia_magnifica",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,-1.0879,"km/year",17727.15,351.61,"Mar","Animalia","Echinodermata","Asteroidea","Goniasteridae","South hemisphere",0.161066908586839,-0.14561008437053,-0.14561008437053,0.565639196981301,25.3064061239648,161.066908586839,-0.14561008437053,1.97275360355583e-14,25.3064061239648,91.5980832618026,0.596666666666667,0.679583333333333,NA,0.679583333333333,0.257425732070233,-0.94228991562947,86.6154899925977,-13.1920588188126,"match","lag","negneg",-0.94228991562947,86.6154899925977,-13.1920588188126,"match","lag","negneg"
"A112_P1 Xiphophora_chondrophylla 1994 2006 LAT LE","A112_P1","LAT","LE","Xiphophora_chondrophylla",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,0,"km/year",17727.15,351.61,"Mar","Chromista","Ochrophyta","Phaeophyceae","Xiphophoraceae","South hemisphere",0.122502465641388,-0.11248017024822,-0.112480170248219,1.0868259150836,336.662455122916,122.502465641388,-0.11248017024822,2.94299993904853e-14,336.662455122916,88.6585995455119,0.5965,0.660083333333333,-0.166,0.660083333333333,0.103494192296259,0.11248017024822,Inf,1.57472238347508,"match","overshoot","negneg",0.11248017024822,Inf,1.57472238347508,"match","overshoot","negneg"
"A114_P1 Euphydryas_maturna 1996 2006 LAT LE","A114_P1","LAT","LE","Euphydryas_maturna",1995.5,2005.5,"large",2,"TWO","CensusPeriods","occurrence","Resurveyed",11,3.6364,"km/year",333829.57,922.98,"Ter","Animalia","Arthropoda","Insecta","Nymphalidae","North hemisphere",0.710313491178303,0.708332882107455,0.708332882107455,1.2236585203783,4.27969624891425,710.313491178303,0.708332882107455,0.334999323329364,4.27969624891425,85.9028841980332,0.47575,0.4915,0.988,0.4915,0.578864830597077,2.92806711789255,80.5210405316397,32.208738296818,"match","overshoot","pospos",2.92806711789255,80.5210405316397,32.208738296818,"match","overshoot","pospos"
"A114_P1 Oeneis_jutta 1996 2006 LAT LE","A114_P1","LAT","LE","Oeneis_jutta",1995.5,2005.5,"large",2,"TWO","CensusPeriods","occurrence","Resurveyed",11,-2.3636,"km/year",333829.57,922.98,"Ter","Animalia","Arthropoda","Insecta","Nymphalidae","North hemisphere",0.307156390545883,0.306384808535789,0.306384808535789,1.05792119828391,4.06199939092031,307.156390545883,0.306384808535789,0.363053793813743,4.06199939092031,79.2172046153846,0.48025,0.4875,0.991,0.4875,0.289610236596815,-2.66998480853579,112.962633632416,-29.3698328938937,"mismatch","misalignment","negpos",-2.66998480853579,112.962633632416,-29.3698328938937,"mismatch","misalignment","negpos"
"A114_P1 Parnassius_mnemosyne 1996 2006 LAT LE","A114_P1","LAT","LE","Parnassius_mnemosyne",1995.5,2005.5,"large",2,"TWO","CensusPeriods","occurrence","Resurveyed",11,2,"km/year",333829.57,922.98,"Ter","Animalia","Arthropoda","Insecta","Papilionidae","North hemisphere",0.656298937252704,0.648286357225349,0.648286357225349,3.95790375604558,8.96222434299759,656.298937252704,0.648286357225349,1.38868476727059,8.96222434299759,77.1596576917259,0.541333333333333,0.550916666666667,0.997,0.550916666666667,0.163795381895053,1.35171364277465,67.5856821387326,14.8688500705212,"match","overshoot","pospos",1.35171364277465,67.5856821387326,14.8688500705212,"match","overshoot","pospos"
"A117_P2 Hyas_lyratus 1982 2011 LAT O","A117_P2","LAT","O","Hyas_lyratus",1982,2011,"very_large",30,"CONTINUOUS","TimeSeries","abundance","Raw",30,-0.5693,"km/year",336042.96,556.89,"Mar","Animalia","Arthropoda","Malacostraca","Oregoniidae","North hemisphere",0.128947821997864,0.0043886050614462,0.00438860506144627,0.127366068644498,88.0496210639758,128.947821997864,0.0043886050614462,0.127366068644498,88.0496210639758,81.2241330223353,0.443833333333333,0.5895,NA,0.5895,0.034456626542314,-0.573688605061446,100.770877404083,-17.2106581518434,"match","lag","pospos",-0.573688605061446,100.770877404083,-17.2106581518434,"match","lag","pospos"
"A117_P3 Pandalus_platyceros 1984 2011 LAT O","A117_P3","LAT","O","Pandalus_platyceros",1984,2011,"very_large",28,"CONTINUOUS","TimeSeries","abundance","Raw",28,-4.2094,"km/year",522996.92,725.95,"Mar","Animalia","Arthropoda","Malacostraca","Pandalidae","North hemisphere",2.15038722253877,0.251201356513271,0.251201356513271,0.148039786998776,83.2915735282386,2150.38722253877,0.251201356513271,0.148039786998776,83.2915735282386,90.1887663280116,0.567833333333333,0.574166666666667,0.826,0.574166666666667,1.69685029684181,-4.46060135651327,105.967628557829,-124.896837982372,"mismatch","misalignment","negpos",-4.46060135651327,105.967628557829,-124.896837982372,"mismatch","misalignment","negpos"
"A117_P3 Sebastes_ruberrimus 1984 2011 LAT O","A117_P3","LAT","O","Sebastes_ruberrimus",1984,2011,"very_large",28,"CONTINUOUS","TimeSeries","abundance","Raw",28,-2.5156,"km/year",522996.92,725.95,"Mar","Animalia","Chordata","Actinopteri","Sebastidae","North hemisphere",1.91538290397482,0.242453956128469,0.24245395612847,0.132877510641293,82.7278476595024,1915.38290397482,0.242453956128469,0.132877510641293,82.7278476595024,82.9889949096015,0.461833333333333,0.47475,0.706,0.47475,1.82464252196131,-2.75805395612847,109.638017018941,-77.2255107715971,"mismatch","misalignment","negpos",-2.75805395612847,109.638017018941,-77.2255107715971,"mismatch","misalignment","negpos"
"A117_P4 Etropus_crossotus 1987 2011 LAT O","A117_P4","LAT","O","Etropus_crossotus",1987,2011,"very_large",25,"CONTINUOUS","TimeSeries","abundance","Raw",25,-0.7398,"km/year",148113.72,294.5,"Mar","Animalia","Chordata","Actinopteri","Paralichthyidae","North hemisphere",0.244584186904534,0.219098637866427,0.219098637866427,0.160117588181447,26.3885621784938,244.584186904534,0.219098637866427,0.160117588181447,26.3885621784938,96.3278513142409,0.845583333333333,0.849666666666667,0.763,0.849666666666667,1.3683608425212,-0.958898637866427,129.615928340961,-23.9724659466607,"match","lag","pospos",-0.958898637866427,129.615928340961,-23.9724659466607,"match","lag","pospos"
"A117_P4 Pristipomoides_aquilonaris 1987 2011 LAT O","A117_P4","LAT","O","Pristipomoides_aquilonaris",1987,2011,"very_large",25,"CONTINUOUS","TimeSeries","abundance","Raw",25,-2.1838,"km/year",148113.72,294.5,"Mar","Animalia","Chordata","Actinopteri","Lutjanidae","North hemisphere",0.0930556723271253,-0.0739450060714054,-0.073945006071405,0.0883427620195465,217.379498139356,93.0556723271253,-0.0739450060714054,0.0883427620195465,217.379498139356,79.6464869219105,0.26375,0.439666666666667,0.341,0.439666666666667,0.837023932476149,-2.10985499392859,96.6139295690354,-52.7463748482149,"match","lag","negneg",-2.10985499392859,96.6139295690354,-52.7463748482149,"match","lag","negneg"
